     1→"slug","name","sanskrit","category","tradition","level","duration_hours","days","authenticity_score","summary","primary_mantra","lineage","benefits","warnings","evidence_count","evidence_sources"
     2→"pranava-japa","Pranava Japa","प्रणव जप — Oṃkāra Repetition","Mantra","Vedānta / Upaniṣadic","Foundation","12","21","97","The contemplative repetition of Oṃ, the primal sound (pranava) held in the Upaniṣads to be the sonic signature of the Absolute.","ॐ  (A — U — M — silence)","Vedic recitational tradition → Upaniṣadic seers → Patañjali (Yoga Sūtras I.27–28) → living monastic and householder lineages.","Anchors attention on a single, self-arising sound ; Demonstrates the dissolution of verbal thought into silence ; Provides a stable entry point for seated meditation ; Carries uninterrupted lineage continuity for over 2,500 years","Avoid strained vocalization that fatigues the throat ; Not a substitute for treatment of anxiety or depression","2","[high] Māṇḍūkya Upaniṣad vv. 1–12 (primary) — https://www.wisdomlib.org/hinduism/book/mandukya-upanishad | [high] Yoga Sūtras I.27–28 (primary) — https://www.wisdomlib.org/hinduism/book/yoga-sutras-of-patanjali"
     3→"gayatri-mantra","Gāyatrī Mantra","गायत्री मन्त्र — Savitṛ Invocation","Mantra","Vedic (Ṛgveda)","Foundation","20","40","96","A verse from the Ṛgveda (III.62.10) invoking the radiant principle (Savitṛ) to illuminate the intellect — among the most widely transmitted invocations in the tradition.","tat savitur vareṇyaṃ bhargo devasya dhīmahi dhiyo yo naḥ pracodayāt","Ṛṣi Viśvāmitra (seer of the verse) → Vedic ritual schools → modern universalist teachers.","A condensed model of Vedic devotional-philosophical expression ; Trains metrical recitation and breath-linked pacing ; A living example of how a single verse shapes a tradition for 3,000+ years","Some lineages regard the mantra as requiring transmission (dīkṣā); study the range of views before practice ; Recitation is a contemplative act, not a guarantee of any worldly result","1","[high] Ṛgveda III.62.10 (primary) — https://www.wisdomlib.org/hinduism/compilation/rig-veda"
     4→"nadi-shuddhi","Nāḍī Śuddhi","नाडी शुद्धि — Channel Purification Breath","Prāṇāyāma","Haṭha / Rāja Yoga","Foundation","8","14","94","Alternate-nostril breathing (anuloma-viloma) used to balance the lunar (iḍā) and solar (piṅgalā) vital currents before deeper practice.","(silence of measured breath — optional soft Oṃ on retention)","Haṭha corpus (Śiva/Gheraṇḍa Saṃhitā, HYP) → modern yoga revival (Kuvalayananda, Krishnamacharya lineage).","A portable, evidence-adjacent method for steadying breath and attention ; A documented bridge between somatic practice and meditative concentration ; Foundation for all subsequent prāṇāyāma","Never force retention; stop if dizzy or strained ; Avoid during acute respiratory illness ; Pregnant practitioners should use gentle, unrestrained pacing","1","[high] Haṭha Yoga Pradīpikā II.7–14 (primary) — https://www.wisdomlib.org/hinduism/book/hatha-yoga-pradipika"
     5→"trataka","Trāṭaka","त्राटक — Steady Gazing","Dhāraṇā","Haṭha / Rāja Yoga","Intermediate","15","30","92","Fixed-gaze concentration, classically upon a candle flame, listed among the six purification acts (ṣaṭkarma) and as a gateway to inner vision.","(silent fixation; optional internal Oṃ on the after-image)","Haṭha corpus → Śāṇḍilya / Gheraṇḍa lineages → modern yoga schools.","Trains sustained single-pointed attention ; Demonstrates the transition from outer object to inner image ; A clear, teachable model of concentration (dhāraṇā)","Practice candle trāṭaka with a stable flame on a fire-safe surface ; Limit to one session daily; over-practice can strain the eyes ; Discontinue if the eyes become painful rather than merely watery","1","[high] Gheraṇḍa Saṃhitā I.54; HYP II.32 (primary) — https://www.wisdomlib.org/hinduism/book/hatha-yoga-pradipika"
     6→"ajapa-japa","Ajapa-Japa","अजपाजप — The Spontaneous Breath-Mantra","Mantra","Nāth / Tantra","Intermediate","30","40","90","The recognition that the breath itself sounds 'haṃ-saḥ' (So'haṃ) some 21,600 times a day — japa performed without effort of repetition.","so'haṃ  ·  haṃsaḥ  (I am That)","Kashmir Śaiva & Nāth streams → the Vijñāna Bhairava Tantra → modern non-dual teachers.","Weaves mantra into the autonomic rhythm of breath ; A direct doorway to non-dual contemplation (Vijñāna Bhairava) ; Requires no external object or aid","Do not impose the sound forcefully; the method is recognition, not production ; Remain seated and grounded; profound stillness can arise suddenly","1","[high] Vijñāna Bhairava Tantra vv. 24, 27 (primary) — https://www.wisdomlib.org/hinduism/book/vijnana-bhairava-tantra"
     7→"sri-yantra-dhyana","Śrī Cakra Contemplation","श्री चक्र — The Great Yantra","Yantra","Śrī Vidyā","Advanced","40","108","91","Meditative absorption upon the Śrī Yantra — nine interlocking triangles converging on a single point (bindu), the supreme geometric instrument of Śrī Vidyā.","śrīṃ  (the bīja of the goddess, in its proper context)","Śrī Vidyā → Dakṣiṇāmūrti / Hayagrīva lineage → Bhāskararāya → living Śrī Vidyā ācāryas.","A masterpiece of symbolic geometry spanning over a millennium ; Trains sustained, layered visual concentration ; Encodes a complete cosmology of emanation and return","Within Śrī Vidyā, full ritual use is held to require initiation (dīkṣā); contemplative study of the geometry is open ; Regard commercial 'activation' claims skeptically","2","[high] Saundarya Laharī vv. 1–11, 32, 41 (primary) — https://www.wisdomlib.org/hinduism/compilation/saundarya-lahari | [medium] Bhāskararāya, Varivasyā-rahasya (comm.) (scholarly)"
     8→"mahamrityunjaya","Maha Mṛtyuṅjaya Mantra","महामृत्युंजय — The Great Death-Conquering Verse","Mantra","Vedic (Ṛgveda)","Intermediate","18","41","95","A Ṛgvedic verse (VII.59.12) addressed to Tryambaka (the three-eyed one), petitioning liberation from mortality 'as a cucumber from its vine.'","oṃ tryambakaṃ yajāmahe sugandhiṃ puṣṭivardhanam urvārukam iva bandhanān mṛtyor mukṣīya māmṛtāt","Ṛṣi Vasiṣṭha (seer of the verse) → Vedic schools → universal recitation.","A rare Vedic verse explicitly thematizing the manner of release ; A touchstone recited at life's thresholds across millennia ; Rich in metaphor available to sustained study","Not a medical treatment; never framed as a substitute for care ; Some traditions treat it as best received through transmission","1","[high] Ṛgveda VII.59.12 (primary) — https://www.wisdomlib.org/hinduism/compilation/rig-veda"
     9→"yoga-nidra","Yoga Nidrā","योग निद्रा — Conscious Sleep","Meditation","Tantra / Haṭha","Intermediate","16","28","89","The state of 'conscious sleep' — the body resting while awareness remains luminous and unbroken, rooted in tantric and Upaniṣadic sources.","I am awake, though the body sleeps.  (the witness-sentence)","Tantric roots → Māṇḍūkya framework → modern Bihar School systematization.","A documented method for deep physiological rest ; Trains access to the hypnagogic threshold with retained awareness ; A bridge between relaxation practice and meditative absorption","Practitioners with trauma or dissociative conditions should use gentle, shortened sessions ; Do not use while operating machinery or driving","2","[high] Māṇḍūkya Upaniṣad vv. 5–7 (primary) — https://www.wisdomlib.org/hinduism/book/mandukya-upanishad | [medium] Saraswati, S. — Yoga Nidrā (Bihar School, 1976) (modern)"
    10→"bija-mantra","Bīja Mantra","बीज मन्त्र — Seed Sounds of the Cakras","Mantra","Tantra","Intermediate","14","21","88","The seed-syllables (laṃ, vaṃ, raṃ, yaṃ, haṃ, oṃ) associated with the six contemplative centers — sonic 'seeds' held to condense an entire principle into a single phoneme.","laṃ · vaṃ · raṃ · yaṃ · haṃ · oṃ","Tantric cakra literature (Ṣaṭ-cakra-nirūpaṇa) → Śrī Vidyā & haṭha schools.","A compact system linking sound, element, and image ; Trains resonance at different bodily loci ; A foundation for yantra and cakra visualization","Some lineages hold the bījas to require transmission for ritual use ; Symbolic contemplation is widely open; ritual claims are not endorsed here","1","[high] Ṣaṭ-Cakra-Nirūpaṇa vv. 104–112 (primary) — https://www.wisdomlib.org/hinduism/book/shat-chakra-nirupana"
    11→"soham-dhyana","So'haṃ Dhyāna","सोऽहं — 'I Am That' Non-dual Contemplation","Meditation","Vedānta / Nāth","Foundation","20","30","90","Contemplative abidance in the recognition 'so'haṃ' — 'I am That' — the non-dual identity of the individual self (jīva) and the absolute (brahman).","so'haṃ  ·  śivo'ham  ·  ahaṃ brahmāsmi","Upaniṣadic seers → Advaita Vedānta (Śaṅkara) → Nāth streams → modern non-dual teachers.","A direct entry into non-dual framing without complex technique ; Distinguishes attention from its objects ; Connects breath (ajapa) to pure recognition","Do not construe the recognition as a grandiose self-image ; Remain ordinary; the frame is humility disguised as simplicity","1","[high] Bṛhadāraṇyaka Upaniṣad I.4.1 (sa ahaṃ asmī) (primary)"
